Designator,Mid X,Mid Y,Rotation,Layer
BATT1,44.684,-69.356,0.0,top
BT1,98.854,-24.346,0.0,top
C1,95.784,-67.576,180.0,top
C10,79.434,-39.956,0.0,top
C11,79.434,-42.966,0.0,top
C12,79.434,-45.976,0.0,top
C13,79.434,-48.986,0.0,top
C14,79.434,-51.996,0.0,top
C15,79.434,-55.006,0.0,top
C16,79.434,-58.016,0.0,top
C17,79.434,-61.026,0.0,top
C18,83.884,-39.956,0.0,top
C19,83.884,-42.966,0.0,top
C2,74.984,-39.956,0.0,top
C20,83.884,-45.976,0.0,top
C21,83.884,-48.986,0.0,top
C22,83.884,-51.996,0.0,top
C23,83.884,-55.006,0.0,top
C24,83.884,-58.016,0.0,top
C25,83.884,-61.026,0.0,top
C26,88.334,-39.956,0.0,top
C27,88.334,-42.966,0.0,top
C28,88.334,-45.976,0.0,top
C29,88.334,-48.986,0.0,top
C3,74.984,-42.966,0.0,top
C30,88.334,-51.996,0.0,top
C31,88.334,-55.006,0.0,top
C32,88.334,-58.016,0.0,top
C33,88.334,-61.026,0.0,top
C4,74.984,-45.976,0.0,top
C5,74.984,-48.986,0.0,top
C6,74.984,-51.996,0.0,top
C7,74.984,-55.006,0.0,top
C8,74.984,-58.016,0.0,top
C9,74.984,-61.026,0.0,top
D1,98.749,-29.846,0.0,top
D10,45.077,-46.538,0.0,top
D11,45.077,-54.088,0.0,top
D12,45.077,-61.638,0.0,top
D13,52.987,-16.338,0.0,top
D14,52.987,-23.888,0.0,top
D15,52.987,-31.438,0.0,top
D16,52.987,-38.988,0.0,top
D17,52.987,-46.538,0.0,top
D18,52.987,-54.088,0.0,top
D19,52.987,-61.638,0.0,top
D2,70.329,-66.931,0.0,top
D20,60.897,-16.338,0.0,top
D21,60.897,-23.888,0.0,top
D22,60.897,-31.438,0.0,top
D23,60.897,-38.988,0.0,top
D24,60.897,-46.538,0.0,top
D25,60.897,-54.088,0.0,top
D26,60.897,-61.638,0.0,top
D27,68.807,-16.338,0.0,top
D28,68.807,-23.888,0.0,top
D29,68.807,-31.438,0.0,top
D3,70.329,-69.971,0.0,top
D30,68.807,-38.988,0.0,top
D31,68.807,-46.538,0.0,top
D32,68.807,-54.088,0.0,top
D33,68.807,-61.638,0.0,top
D4,58.589,-67.086,0.0,top
D5,58.589,-70.436,0.0,top
D6,45.077,-16.338,0.0,top
D7,45.077,-23.888,0.0,top
D8,45.077,-31.438,0.0,top
D9,45.077,-38.988,0.0,top
J1,77.844,-66.656,0.0,top
PORT1,96.514,-59.526,0.0,top
Q1,64.684,-67.911,180.0,top
Q2,97.134,-34.346,180.0,top
R1,92.764,-39.926,0.0,top
R10,97.174,-45.826,0.0,top
R11,97.174,-48.776,0.0,top
R12,97.174,-51.726,0.0,top
R13,97.174,-54.676,0.0,top
R14,101.584,-39.926,0.0,top
R15,101.584,-42.876,0.0,top
R16,101.584,-45.826,0.0,top
R2,51.964,-67.516,0.0,top
R3,92.764,-42.876,0.0,top
R4,92.764,-45.826,0.0,top
R5,92.764,-48.776,0.0,top
R6,92.764,-51.726,0.0,top
R7,92.764,-54.676,0.0,top
R8,97.174,-39.926,0.0,top
R9,97.174,-42.876,0.0,top
TOUCH1,85.234,-67.366,0.0,top
U1,98.506,-16.8445,0.0,top
U2,83.723,-25.001,0.0,top
