Designator,Footprint,Quantity,Value,LCSC Part #
"BATT1, CC1",Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,2,Conn_01x02_Socket,C49023803
"C1, C2, CD2, CD4, CD5, CD6, CD7, CD8, CD9",0805,9,100n,C2909631
"C10, C11, C5, C6",C_Elec_6.3x7.7,4,220uF,C7471881
"C4, CD1, CD3",0805,3,10u,C77075
C7,0805,1,10u,C162422
C8,C_Elec_6.3x7.7,1,100uF,C99837
D1,D_MiniMELF,1,D_Zener,C181075
"D10, D5, D6, D7, D8, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,6,WS2812B,1
"D11, D14, D15, D2, D3",D_SMA,5,SS14,C2909920
D12,0805,1,LED_BLUE,C965817
D13,0805,1,LED_RED,C84256
D4,0805,1,LED,C84256
F1,1206,1,Polyfuse,C22446878
"J1, J2, J3",TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,3,Conn_01x03_Socket,
J4,USB-C-SMD_GT-USB-7101A,1,USB_C_Receptacle_PowerOnly_6P,
"L1, L3",L_Sunlord_SWPA4010S,2,33u,C167885
L2,0805,1,22n,1
"PORT1, PORT3",Hirose_DF13C_CL535-0404-8-51_1x04-1MP_P1.25mm_Vertical,2,Conn_01x04_Socket,1
PORT2,Hirose_DF13C_CL535-0404-8-51_1x04-1MP_P1.25mm_Vertical,1,Conn_01x04_Socket,
"PROG1, RST1",SW_SPST_PTS647_Sx38,2,SW_Push,1
"Q1, Q2",SOT-223-3_TabPin2,2,PMOS,C154901
"Q3, Q4, Q5",SOT-23,3,AO3400A,
Q7,SOT-23,1,2N7002K,C65189
"R1, R22, R26, R4, R5",0805,5,10k,C17414
"R10, R8",2010,2,0R22,C2999625
"R11, R13, R17, R6",0805,4,330,C17630
"R12, R16, R21, R7",0805,4,100k,C149504
"R14, R15",0805,2,1k,C11702
"R18, R2, R3",0805,3,2k2,C17520
"R27, R28",0805,2,5.1k,C
STRIP1,TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal,1,Conn_01x02_Pin,1
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-5V,C2681227
U2,SOT-23-5,1,AP2112K-3.3,C51118
U3,ESP32-WROOM-32U,1,ESP32-WROOM-32,C2980301
U4,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C382139
U5,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,~,C2988027
VDC1,BarrelJack_Horizontal,1,Barrel_Jack_Switch,C720557
