Designator,Footprint,Quantity,Value,LCSC Part #
BT1,SW_SPST_PTS647_Sx38,1,SW_Push,C455246
"C1, C3",CP_Elec_6.3x7.7,2,220uF,C25170691
"C2, C7, C8",0805,3,100nF,C49678
"C4, C5, C6",0805,3,10u,C15850
D1,D_SMA,1,SS14,C2480
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2843785
D3,0805,1,LED_BLUE,C965817
D4,0805,1,LED_RED,C84256
"D5, D6",D_SOD-123,2,1N4148W,C83528
"J1, TOUCH1",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Socket,
J2,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,Conn_01x03_Socket,
J3,MPU6050,1,Conn_01x04_Socket,
"PORT1, PORT2",Hirose_DF13C_CL535-0404-8-51_1x04-1MP_P1.25mm_Vertical,2,Conn_01x04_Socket,C7433470
Q2,SOT-23,1,2N7002K,C65189
Q3,SOT-23_Handsoldering,1,PMOS,C42456992
"R1, R10, R12, R2, R8",0805,5,2.2k,C17520
"R11, R3, R6, R7",0805,4,330,C17630
"R13, R4",0805,2,10k,C17414
"R14, R15, R16, R17, R18, R19",0805,6,100k,C149504
R9,1206,1,0R22,C2683384
U1,ESP32-C3-Supermini,1,ESP32-C3-Supermini,
U2,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C382139
