Designator,Mid X,Mid Y,Rotation,Layer
BATT1,0.0,-24.73,90.0,top
BT1,22.525,-1.9,0.0,top
C1,10.6,-15.5,270.0,top
C2,18.8,-7.05,270.0,top
C3,0.3,-8.0,180.0,top
C4,50.2,-27.45,270.0,top
C5,11.1,-28.65,90.0,top
C6,50.2,-15.05,270.0,top
C7,16.25,-1.4,180.0,top
D1,8.4,-35.6,180.0,top
D2,23.6,-7.8,0.0,top
D3,13.8,-33.925,270.0,top
D4,16.5,-33.925,270.0,top
D5,10.8,-22.85,90.0,top
D6,15.3,2.25,270.0,top
J1,9.0,2.8,270.0,top
J2,0.0175,-16.64,90.0,top
J3,34.31,-9.6,90.0,top
PORT1,54.25,-9.925,90.0,top
PORT2,54.25,-22.725,90.0,top
Q1,16.0,-12.9625,270.0,top
Q2,6.1375,-30.8,0.0,top
Q3,6.1,-21.6,270.0,top
R1,47.9125,-18.6,180.0,top
R10,19.6,-24.4125,90.0,top
R11,23.5,-23.5875,90.0,top
R12,16.2125,-3.5,180.0,top
R13,10.2125,-31.8,0.0,top
R14,27.4,-2.5875,270.0,top
R15,6.1125,-25.8,0.0,top
R2,49.0125,-21.0,180.0,top
R3,16.0125,-18.1,180.0,top
R4,16.0125,-16.1,0.0,top
R5,13.6125,-10.7,0.0,top
R6,22.9875,-15.5,180.0,top
R7,22.9875,-18.0,180.0,top
R8,18.9,-35.8875,90.0,top
R9,15.5125,-20.9,180.0,top
TOUCH1,22.44,2.8,90.0,top
U1,35.38,-24.41,180.0,top
U2,15.1,-26.7,180.0,top
