Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_Elec_6.3x7.7,2,220uF,C2162971
C2,0805,1,100nF,C49678
"C4, C6, C7",0805,3,10u,C77075
C5,0805,1,10u,C380331
D1,D_SMA,1,SS14,C2909920
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,WS2812B,C2843785
D3,0805,1,LED_BLUE,C965817
D4,0805,1,LED_RED,C84256
"J1, J2",TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,2,Conn_01x03_Socket,
J3,MPU6050,1,Conn_01x04_Socket,
"PORT1, PORT2, PORT3",Hirose_DF13C_CL535-0404-8-51_1x04-1MP_P1.25mm_Vertical,3,Conn_01x04_Socket,1
Q1,SOT-23,1,2N7002K,C65189
"R1, R2",0805,2,2k2,C17520
"R10, R8",0805,2,2.2k,C17520
"R3, R6, R7",0805,3,330,C17630
"R4, R5",0805,2,10k,C17414
R9,2010,1,0R22,C2999625
U1,ESP32-C3-Supermini,1,ESP32-C3-Supermini,
U2,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TP4056,C382139
