Designator,Mid X,Mid Y,Rotation,Layer
BATT1,2.9,-24.73,90.0,top
C1,8.4,-15.5,270.0,top
C2,19.05,-6.0,0.0,top
C3,0.7,-8.0,180.0,top
C4,48.2,-27.45,270.0,top
C5,8.2,-26.05,90.0,top
C6,22.95,-5.1,0.0,top
C7,48.2,-15.05,270.0,top
D1,8.2,-31.6,90.0,top
D2,20.6,-10.0,0.0,top
D3,11.8,-33.925,270.0,top
D4,14.5,-33.925,270.0,top
J1,9.14,0.1,180.0,top
J2,0.5,-16.66,90.0,top
J3,32.31,-9.6,90.0,top
PORT1,52.25,-9.925,90.0,top
PORT2,20.1,0.2,180.0,top
PORT3,52.25,-22.725,90.0,top
Q1,14.0,-12.9625,270.0,top
R1,45.9125,-18.6,180.0,top
R10,17.6,-24.4125,90.0,top
R2,47.0125,-21.0,180.0,top
R3,14.0125,-18.1,180.0,top
R4,14.0125,-16.1,0.0,top
R5,11.6125,-10.7,0.0,top
R6,20.9875,-15.5,180.0,top
R7,20.9875,-18.0,180.0,top
R8,20.0,-34.2,270.0,top
R9,13.5125,-20.9,180.0,top
U1,33.38,-24.41,180.0,top
U2,13.1,-26.7,180.0,top
